concept,pearson_r,pearson_p,pearson_significant,spearman_r,spearman_p,spearman_significant,mean_similarity,std_similarity,mean_error_km,mean_neg_log_error,n_samples
urban city,0.21974652372611816,1.003239139015145e-50,True,0.1756283957409506,9.533682510885642e-33,True,-0.023995818178985436,0.045294280438539655,2580.7221714977463,-5.841477646945969,4536
rural countryside,0.0645658134834021,1.350001939872173e-05,True,0.0830049613544484,2.16223986251085e-08,True,0.0016472770239504494,0.03724927765937296,2580.7221714977463,-5.841477646945969,4536
coastline,0.0800477960179292,6.724384331898364e-08,True,0.0689055799395072,3.4004081772952494e-06,True,-0.010448393721436867,0.04065265992345586,2580.7221714977463,-5.841477646945969,4536
mountain landscape,0.07450163502601011,5.079862235439943e-07,True,0.055092100851393155,0.00020543264032740814,True,-0.006426152813949876,0.037581490668113594,2580.7221714977463,-5.841477646945969,4536
desert landscape,-0.0028375958211834884,0.8484791205564911,False,-0.02094549424425152,0.1584093697006123,False,-0.016927142186506105,0.03531188441423563,2580.7221714977463,-5.841477646945969,4536
snowy landscape,0.06329924082695981,1.9874420810790456e-05,True,0.06376858483417393,1.7235043573463353e-05,True,-0.006835980369297035,0.03634219798357295,2580.7221714977463,-5.841477646945969,4536
tropical forest,-0.09977766742792998,1.6396486073196893e-11,True,-0.1070405634637,4.903353662909488e-13,True,-0.02763365578321228,0.03708015136219773,2580.7221714977463,-5.841477646945969,4536
vegetation,-0.04084769302839608,0.0059327476740759465,True,-0.029071365636073432,0.050250461264841104,False,0.008678496421829569,0.03935053601596258,2580.7221714977463,-5.841477646945969,4536
palm trees,0.014562027075394718,0.3268236934762147,False,0.006735949653320867,0.6501562071004748,False,-0.012836043513267387,0.03188925336722785,2580.7221714977463,-5.841477646945969,4536
pine forest,-0.042138204014053375,0.0045329027734932244,True,-0.038423179680396186,0.009652456953963702,True,-0.02216970592638414,0.034846184801343265,2580.7221714977463,-5.841477646945969,4536
waterfront,0.18151887455633275,6.693058496136694e-35,True,0.15461836753293223,1.1410315863265438e-25,True,-0.007415670715412941,0.04429648283569113,2580.7221714977463,-5.841477646945969,4536
blue sky,0.06380681218651701,1.703545149436562e-05,True,0.06199689495138153,2.936324582996669e-05,True,-0.0063146560288906365,0.039857402645909534,2580.7221714977463,-5.841477646945969,4536
road,0.1156218706331602,5.665671878339235e-15,True,0.12562595485446051,2.0273177771981277e-17,True,-0.0012517436231045246,0.0408892615681466,2580.7221714977463,-5.841477646945969,4536
bridge,0.18163241806847621,6.072622055662158e-35,True,0.150718745718128,1.8555333930890146e-24,True,0.0024633017060705,0.03428771553844725,2580.7221714977463,-5.841477646945969,4536
skyscrapers,0.17106507689040543,3.948379908057432e-31,True,0.12086054463673687,3.144560514392004e-16,True,-0.006771271144018063,0.03331187821907658,2580.7221714977463,-5.841477646945969,4536
residential houses,0.16751373417708965,6.670429522029525e-30,True,0.15614425370240442,3.755749041513526e-26,True,-0.018784320292129682,0.03776610257485852,2580.7221714977463,-5.841477646945969,4536
Gothic cathedral,0.24582303680230633,2.0560069859867936e-63,True,0.19276863134148547,3.1889868441316866e-39,True,-0.03699172304699479,0.03850904034650998,2580.7221714977463,-5.841477646945969,4536
Islamic architecture,0.23011505969661594,1.394314537348623e-55,True,0.18793052575499017,2.4896938181041264e-37,True,-0.025343163737944343,0.03900310129473329,2580.7221714977463,-5.841477646945969,4536
Buddhist pagoda,0.1123632695449133,3.2087809553068067e-14,True,0.08771041697416461,3.2774746387871707e-09,True,-0.018858381745233053,0.03279139382730985,2580.7221714977463,-5.841477646945969,4536
Japanese traditional architecture,0.1121072665666638,3.669420499249472e-14,True,0.08342783977497423,1.832495528797054e-08,True,-0.044274774480037374,0.038516119299008535,2580.7221714977463,-5.841477646945969,4536
Mediterranean buildings,0.23362831439454207,2.7708667491036393e-57,True,0.19324602061647403,2.0612914258138426e-39,True,-0.030218506381189485,0.0454976765321073,2580.7221714977463,-5.841477646945969,4536
